feature,importance_gain
CATALOG_VELOCITY_SLOPE,239949.39360386133
HISTORICAL_STANDARD_TRACK_SPB,139792.34709256887
TOTAL_TRACKS_ANALYZED,34067.63776540756
TOTAL_PRE_RELEASE_IG_FAVES,21877.689485549927
IG_AVG_ENGAGEMENT_RATE,15458.966147780418
HISTORICAL_MACRO_MOMENTUM,10875.936577618122
SHORT_TERM_SPIKE_RATIO,8213.474149525166
TOTAL_PRE_RELEASE_IG_COMMENTS,6633.418537557125
TOTAL_PRE_RELEASE_TT_PLAYS,5022.221869111061
IG_LATE_STAGE_HYPE,4372.1073269844055
TT_OUTLIER_REACH,2153.6787709593773
IG_COMMENT_DENSITY,1303.7018613815308
LEAD_SINGLE_PEAK_VOLUME,1203.1066111326218
RETENTION_RATIO,918.4524431228638
IS_DEBUT_ALBUM,287.68222534656525
TT_SHARE_VELOCITY,177.78858852386475
ACTIVE_SINGLE_COUNT,131.66549879312515
VELOCITY_X_SINGLES,96.42078006267548
