feature,importance_gain
CATALOG_VELOCITY_SLOPE,90996411.17271972
IG_AVG_ENGAGEMENT_RATE,20510935.797064066
HISTORICAL_STANDARD_TRACK_SPB,20068215.074175358
TOTAL_TRACKS_ANALYZED,13748546.45407939
TOTAL_PRE_RELEASE_IG_FAVES,9626761.776934624
SHORT_TERM_SPIKE_RATIO,6002096.954734564
TOTAL_PRE_RELEASE_IG_COMMENTS,4620772.0789551735
HISTORICAL_MACRO_MOMENTUM,3705011.172699213
TOTAL_PRE_RELEASE_TT_PLAYS,1913703.353372097
IG_LATE_STAGE_HYPE,1869063.2479100227
LEAD_SINGLE_PEAK_VOLUME,1398788.509491682
TT_OUTLIER_REACH,979183.5376935005
IG_COMMENT_DENSITY,772298.3428165913
RETENTION_RATIO,292359.1310067177
TT_SHARE_VELOCITY,285017.12587451935
VELOCITY_X_SINGLES,235760.51797056198
IS_DEBUT_ALBUM,162613.2883119583
ACTIVE_SINGLE_COUNT,28793.62502861023
